[ 2025-05-20 09:41:45,926 ] 26 root - INFO - Logging setup complete. Log file created successfully.
[ 2025-05-20 09:41:50,339 ] 40 root - INFO - DataIngestion object created successfully.
[ 2025-05-20 09:41:50,339 ] 20 root - INFO - Initiate the data ingestion
[ 2025-05-20 09:41:57,067 ] 71 root - INFO - Successfully exported data from collection 'NetworkData' as DataFrame.
[ 2025-05-20 09:41:57,150 ] 99 root - INFO - Data successfully saved to feature store at Artifacts\05_20_2025_09_41_46\data_ingestion\feature_store\phisingData.csv.
[ 2025-05-20 09:41:57,155 ] 118 root - INFO - Train-test split completed successfully.
[ 2025-05-20 09:41:57,235 ] 133 root - INFO - Training and testing data successfully exported to CSV files.
[ 2025-05-20 09:41:57,236 ] 160 root - INFO - Data ingestion pipeline completed successfully.
[ 2025-05-20 09:41:57,236 ] 22 root - INFO - Data Initiation Completed
[ 2025-05-20 09:41:57,243 ] 26 root - INFO - Initiate the data Validation
[ 2025-05-20 09:41:57,338 ] 47 root - INFO - Required number of columns: 2
[ 2025-05-20 09:41:57,338 ] 48 root - INFO - Data frame has columns: 31
[ 2025-05-20 09:41:57,338 ] 47 root - INFO - Required number of columns: 2
[ 2025-05-20 09:41:57,338 ] 48 root - INFO - Data frame has columns: 31
[ 2025-05-20 09:41:57,541 ] 28 root - INFO - data Validation Completed
[ 2025-05-20 09:41:57,541 ] 31 root - INFO - data Transformation started
[ 2025-05-20 09:41:57,541 ] 86 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-20 09:41:57,542 ] 88 root - INFO - Starting data transformation
[ 2025-05-20 09:41:57,574 ] 64 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2025-05-20 09:41:57,574 ] 68 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-20 09:41:57,599 ] 67 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-20 09:41:57,645 ] 71 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-20 09:41:57,646 ] 67 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-20 09:41:57,649 ] 71 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-20 09:41:57,650 ] 35 root - INFO - data Transformation completed
[ 2025-05-20 09:41:57,650 ] 37 root - INFO - Model Training sstared
