[ 2025-05-20 09:09:44,801 ] 26 root - INFO - Logging setup complete. Log file created successfully.
[ 2025-05-20 09:10:03,756 ] 40 root - INFO - DataIngestion object created successfully.
[ 2025-05-20 09:10:03,756 ] 20 root - INFO - Initiate the data ingestion
[ 2025-05-20 09:10:10,949 ] 71 root - INFO - Successfully exported data from collection 'NetworkData' as DataFrame.
[ 2025-05-20 09:10:10,990 ] 99 root - INFO - Data successfully saved to feature store at Artifacts\05_20_2025_09_09_49\data_ingestion\feature_store\phisingData.csv.
[ 2025-05-20 09:10:10,992 ] 118 root - INFO - Train-test split completed successfully.
[ 2025-05-20 09:10:11,041 ] 133 root - INFO - Training and testing data successfully exported to CSV files.
[ 2025-05-20 09:10:11,041 ] 160 root - INFO - Data ingestion pipeline completed successfully.
[ 2025-05-20 09:10:11,041 ] 22 root - INFO - Data Initiation Completed
[ 2025-05-20 09:10:11,045 ] 26 root - INFO - Initiate the data Validation
[ 2025-05-20 09:10:11,116 ] 47 root - INFO - Required number of columns: 2
[ 2025-05-20 09:10:11,116 ] 48 root - INFO - Data frame has columns: 31
[ 2025-05-20 09:10:11,116 ] 47 root - INFO - Required number of columns: 2
[ 2025-05-20 09:10:11,116 ] 48 root - INFO - Data frame has columns: 31
[ 2025-05-20 09:10:11,218 ] 28 root - INFO - data Validation Completed
[ 2025-05-20 09:10:11,218 ] 31 root - INFO - data Transformation started
[ 2025-05-20 09:10:11,218 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-20 09:10:11,219 ] 65 root - INFO - Starting data transformation
[ 2025-05-20 09:10:11,234 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-20 09:10:11,234 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-20 09:10:11,254 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-20 09:10:11,257 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-20 09:10:11,257 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-20 09:10:11,259 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-20 09:10:11,259 ] 35 root - INFO - data Transformation completed
[ 2025-05-20 09:10:11,259 ] 37 root - INFO - Model Training sstared
